name,phone,cpf,sexo,state,city
Srta. Esther Porto,71 8564 3295,096.324.187-78,M,('TO', 'Tocantins'),Campos
Sarah Freitas,+55 71 4037-6696,205.869.371-02,F,('RN', 'Rio Grande do Norte'),Castro da Serra
Stella Alves,+55 61 5273-4239,318.267.509-59,M,('AL', 'Alagoas'),Moura das Pedras
Sr. Bernardo Castro,81 3781 6053,510.497.268-20,F,('RR', 'Roraima'),Caldeira
Francisco Azevedo,(031) 3539-6135,154.809.623-70,M,('AC', 'Acre'),Cardoso da Praia
Agatha Barbosa,84 8619-5430,984.531.206-33,F,('RJ', 'Rio de Janeiro'),Fernandes
Luiza da Rocha,84 0068-4430,016.287.354-90,F,('RR', 'Roraima'),Castro
Sra. Elisa Lopes,+55 (051) 9082 8795,153.870.624-53,F,('CE', 'Ceará'),Farias
Sr. Bernardo Nogueira,31 6567 4137,210.746.589-49,M,('PB', 'Paraíba'),Fogaça
Sra. Sophia Rezende,+55 31 4028-5111,347.965.182-82,F,('PI', 'Piauí'),Almeida
Marcela Costela,+55 (011) 3361 6959,143.659.702-16,M,('MT', 'Mato Grosso'),Cavalcanti de Monteiro
Luiza Barros,(041) 3302 1964,345.271.096-34,M,('SE', 'Sergipe'),Costela Grande
Sr. Davi Luiz Cardoso,+55 (021) 1020 5288,356.412.807-71,M,('PA', 'Pará'),Melo dos Dourados
Davi Moraes,+55 (061) 2707 2018,012.597.386-12,F,('AM', 'Amazonas'),Azevedo
Juan Nunes,+55 (021) 0690 7191,745.389.126-46,F,('RJ', 'Rio de Janeiro'),Sales Grande
Paulo Vieira,(071) 4199-0512,537.894.601-84,F,('PI', 'Piauí'),Nascimento
Luigi Alves,(041) 3605 2068,410.679.582-58,F,('AL', 'Alagoas'),Ferreira
Alexia Novaes,61 8191 6047,682.314.590-06,M,('ES', 'Espírito Santo'),Moraes
Mariana Costela,21 4757 3653,943.015.278-50,F,('MA', 'Maranhão'),Barbosa
Camila Nogueira,21 4139-6260,064.185.729-20,M,('RR', 'Roraima'),Caldeira da Mata
Eloah Teixeira,+55 71 8475 4815,641.573.098-39,F,('SC', 'Santa Catarina'),Barbosa
Sr. Lorenzo Aragão,41 7294 7869,639.728.104-31,M,('PE', 'Pernambuco'),Barros da Praia
Luigi Moura,(011) 5640-6242,517.329.486-82,F,('GO', 'Goiás'),Freitas do Norte
Renan Duarte,+55 (071) 6472-6059,493.251.780-79,M,('RN', 'Rio Grande do Norte'),Viana da Prata
Srta. Pietra Nascimento,(051) 6940 5714,529.740.168-20,M,('BA', 'Bahia'),da Rosa
Luiz Gustavo Almeida,+55 (041) 0353-7605,958.016.247-67,M,('AP', 'Amapá'),Barbosa
Fernanda da Mata,+55 71 0395-0422,839.657.124-46,F,('SC', 'Santa Catarina'),Barbosa
Sra. Carolina Azevedo,+55 41 1067-5943,625.893.407-29,F,('RO', 'Rondônia'),Barros de Cavalcanti
Srta. Ana Júlia Monteiro,+55 84 1323-7565,425.917.086-49,M,('AL', 'Alagoas'),da Cunha da Praia
Antônio Lima,+55 21 2310-5350,970.643.251-52,M,('RN', 'Rio Grande do Norte'),da Rocha da Prata
Isaac Carvalho,0800 657 8717,269.173.058-12,M,('GO', 'Goiás'),Nunes dos Dourados
Gustavo Henrique Pires,41 6064 8547,310.967.254-52,F,('AM', 'Amazonas'),Rodrigues do Amparo
Amanda da Mata,(031) 8753 8380,769.058.421-76,F,('AL', 'Alagoas'),Cardoso Grande
Larissa Martins,51 8177 6701,492.067.135-07,F,('PA', 'Pará'),da Luz do Galho
João Pedro Fernandes,0900-302-3796,317.926.405-52,F,('AL', 'Alagoas'),Farias Grande
Nicolas da Conceição,(011) 0090 9444,614.872.390-50,M,('PB', 'Paraíba'),Martins de Nascimento
Eloah Silveira,+55 (071) 6662 7756,803.695.741-84,F,('MA', 'Maranhão'),Costa da Serra
Maria Eduarda da Cruz,+55 21 1127 4655,017.569.328-59,M,('AC', 'Acre'),Barros
Sr. Leonardo Rodrigues,+55 31 0999 7035,923.681.704-13,M,('GO', 'Goiás'),Pires
Vitor Hugo Souza,(084) 8587 6590,579.183.462-46,F,('TO', 'Tocantins'),Ferreira
André Rodrigues,11 3932 3230,152.897.403-41,F,('CE', 'Ceará'),Alves Alegre
Júlia Correia,(011) 8460-2972,809.526.374-56,M,('RS', 'Rio Grande do Sul'),Fogaça do Campo
Maria Clara Moreira,0500-447-4885,510.794.823-50,F,('SE', 'Sergipe'),da Rosa
Cauê da Paz,(011) 6887 2181,571.843.690-84,M,('MA', 'Maranhão'),Martins
Leonardo da Rosa,+55 41 1262 0779,123.097.854-23,F,('AM', 'Amazonas'),Campos
Bruno Martins,81 0412 2480,943.756.280-65,M,('ES', 'Espírito Santo'),Azevedo da Prata
Ana Vitória Nascimento,0300-686-1972,093.426.158-05,F,('RS', 'Rio Grande do Sul'),Gonçalves
Marina da Conceição,+55 51 5377 3741,728.395.416-37,F,('BA', 'Bahia'),da Conceição de Goiás
Caroline Viana,+55 (021) 9222 0821,417.396.085-93,F,('CE', 'Ceará'),Nunes
João Gabriel Silveira,81 1707-4827,812.056.947-49,F,('CE', 'Ceará'),Barros
Davi Lucas Caldeira,41 3621-1086,036.849.127-78,M,('GO', 'Goiás'),Monteiro dos Dourados
Isabel Melo,(051) 6883 7676,784.690.251-20,F,('MG', 'Minas Gerais'),Silva de Goiás
Luiz Miguel Souza,+55 81 1826-5002,401.983.276-50,M,('RN', 'Rio Grande do Norte'),Moreira
Dra. Mariane Mendes,+55 51 5195 9916,409.675.823-00,M,('SP', 'São Paulo'),Ferreira das Pedras
Sr. Davi Lucas Ferreira,0500 535 3359,635.182.790-68,F,('AP', 'Amapá'),da Cunha Grande
Breno Nogueira,(071) 5137 3675,032.641.985-33,F,('RS', 'Rio Grande do Sul'),Peixoto
Joaquim Ribeiro,+55 (011) 3026-4810,974.586.310-66,M,('AC', 'Acre'),Cardoso dos Dourados
Maria Fernanda Pinto,+55 (021) 1755 1958,390.652.184-24,M,('RJ', 'Rio de Janeiro'),Caldeira
Fernanda Ribeiro,84 7145-6592,502.973.684-00,F,('MT', 'Mato Grosso'),Lopes Grande
Srta. Joana das Neves,+55 51 8451 1655,231.675.084-26,F,('PR', 'Paraná'),Freitas do Campo
João Pedro da Luz,+55 84 4976-8079,094.253.687-83,M,('SC', 'Santa Catarina'),Costela dos Dourados
João Lucas Pereira,+55 41 4849-7585,275.903.186-12,F,('TO', 'Tocantins'),Azevedo das Pedras
Mariana Peixoto,+55 (081) 6747-7343,291.576.304-61,M,('SE', 'Sergipe'),da Mata da Serra
Lívia Monteiro,+55 (061) 2665-4456,265.713.480-71,M,('RN', 'Rio Grande do Norte'),Novaes do Campo
Catarina Fogaça,(071) 8151-5314,045.827.916-11,M,('AC', 'Acre'),Gomes de Goiás
Julia Porto,+55 11 7636-2382,320.158.697-86,M,('SE', 'Sergipe'),Cunha
Luigi Nogueira,(061) 6674 5520,478.159.026-85,M,('AC', 'Acre'),Sales das Flores
Thomas Lopes,+55 (081) 3796-9759,821.306.459-33,F,('RJ', 'Rio de Janeiro'),Mendes do Oeste
Camila Costela,+55 (081) 4403-0522,893.647.510-00,M,('CE', 'Ceará'),Ferreira Paulista
Davi Porto,+55 (081) 5531 5549,984.365.021-24,M,('AL', 'Alagoas'),Viana
Sra. Luana Monteiro,+55 (071) 3538-0345,472.361.859-73,F,('BA', 'Bahia'),Oliveira de Aragão
Dra. Carolina Alves,+55 (061) 5021 0595,498.175.026-94,M,('PB', 'Paraíba'),da Mata do Campo
Alícia Alves,+55 (011) 2769-2539,825.649.301-15,M,('RS', 'Rio Grande do Sul'),Moraes
Gustavo Araújo,41 4220-2163,970.841.623-13,F,('RO', 'Rondônia'),da Cruz
Heloísa Vieira,21 4122 0989,375.861.209-86,M,('GO', 'Goiás'),da Luz
Cauã Caldeira,(041) 4367-4142,439.062.158-06,F,('DF', 'Distrito Federal'),da Costa
Otávio Nascimento,(071) 0685 4512,615.389.024-51,M,('MT', 'Mato Grosso'),Cavalcanti de Minas
João Gabriel Azevedo,(061) 6938-8647,043.859.761-39,M,('RJ', 'Rio de Janeiro'),Azevedo
Theo Nunes,+55 31 6502-1559,450.167.982-49,M,('RN', 'Rio Grande do Norte'),da Conceição
Marcelo Rocha,61 6683-9534,079.315.642-43,F,('GO', 'Goiás'),Nunes
Guilherme Moraes,11 4389-4844,802.491.753-04,F,('AC', 'Acre'),Silveira de Lopes
Ana Lívia da Paz,(061) 5247 6814,729.310.584-32,M,('PA', 'Pará'),da Conceição
Dr. Antônio Cardoso,+55 84 0271 4275,749.256.301-99,F,('AL', 'Alagoas'),Porto de Teixeira
Augusto Monteiro,+55 (071) 4750 2363,379.140.856-93,F,('PR', 'Paraná'),Correia
Diego Lopes,0500-071-8889,603.598.712-59,M,('AC', 'Acre'),Nascimento da Praia
Beatriz Campos,0800-912-6509,196.284.573-73,F,('GO', 'Goiás'),Lima
Evelyn Pinto,(031) 9966-7316,672.418.593-91,F,('SC', 'Santa Catarina'),da Cruz de Cavalcanti
Gabriela Carvalho,31 5137-6192,376.918.045-39,F,('PR', 'Paraná'),Costela do Amparo
Maria Cecília Ferreira,(021) 2550-3054,746.381.250-26,F,('PE', 'Pernambuco'),Correia
Gabriel Nascimento,(051) 5809-6097,462.780.591-85,F,('MG', 'Minas Gerais'),Souza
Luana Cavalcanti,+55 31 5085 7990,918.604.723-03,M,('PA', 'Pará'),da Mata de Barros
Noah Moura,+55 (084) 8300 4187,541.938.267-91,M,('MS', 'Mato Grosso do Sul'),Oliveira
Henrique Pinto,+55 51 6790 3979,735.809.146-93,M,('AL', 'Alagoas'),Dias
Diego Pires,+55 (021) 6706-9955,875.394.102-05,F,('RN', 'Rio Grande do Norte'),Nascimento das Pedras
Vitor Gabriel Ferreira,+55 21 7315-3559,091.475.236-70,F,('MA', 'Maranhão'),Cardoso de Aragão
Heitor da Luz,(041) 4701-2995,258.379.041-23,F,('TO', 'Tocantins'),Rezende do Amparo
Sr. João Miguel da Costa,84 8207-0779,831.092.657-02,F,('AL', 'Alagoas'),Barbosa
Lorenzo Fernandes,+55 61 6267 8981,571.294.680-76,M,('SP', 'São Paulo'),Ramos dos Dourados
Lavínia Moraes,+55 31 8326 9822,805.631.974-39,M,('PB', 'Paraíba'),Lopes
Bruno Martins,+55 11 7751 8497,786.594.130-75,F,('RS', 'Rio Grande do Sul'),Cardoso de Monteiro
Enzo Moraes,+55 (084) 8145 0850,270.485.396-74,F,('RO', 'Rondônia'),Aragão dos Dourados
Ana Clara Pires,+55 71 7629 7133,561.804.729-20,M,('PB', 'Paraíba'),da Mota
Yago Barbosa,31 8334-2092,715.038.249-50,M,('TO', 'Tocantins'),Azevedo
Julia Costa,0500 420 2970,324.097.861-03,F,('CE', 'Ceará'),Alves da Serra
Ana Sophia Silveira,(081) 2499-8085,759.408.312-14,M,('RN', 'Rio Grande do Norte'),Nascimento das Pedras
Bianca Viana,81 8859-0545,251.980.734-23,M,('AL', 'Alagoas'),Porto de Minas
Enzo Gabriel Nogueira,0800-132-4566,240.736.815-08,M,('PA', 'Pará'),Teixeira
Cecília Cunha,0500-582-9682,671.805.349-00,M,('AP', 'Amapá'),Ramos da Mata
Beatriz Vieira,0500-349-1125,516.940.728-94,M,('RO', 'Rondônia'),Nogueira
Davi Lucas Santos,0900-943-7585,354.720.689-83,F,('RR', 'Roraima'),Rodrigues
Bryan Farias,+55 (051) 8184 0139,795.820.314-41,F,('RS', 'Rio Grande do Sul'),Lopes da Prata
Emanuella Ramos,31 1726 2494,350.721.896-86,F,('MA', 'Maranhão'),Barbosa
Luana Moraes,11 9928-1254,609.184.273-04,M,('AC', 'Acre'),Lopes
Lara Campos,71 5783-7189,412.935.807-32,F,('TO', 'Tocantins'),Fogaça
Catarina Freitas,(061) 1767-5023,637.285.109-12,M,('MA', 'Maranhão'),Sales
Lucas Gabriel Caldeira,84 2423 5828,982.643.501-51,F,('AM', 'Amazonas'),Fogaça Verde
Dra. Fernanda Correia,51 4768 2399,273.048.695-00,M,('PB', 'Paraíba'),Araújo de Minas
Guilherme Santos,81 0366-3502,237.958.160-68,M,('PI', 'Piauí'),Moura
Miguel da Mata,+55 51 6196 9883,082.496.537-00,F,('PB', 'Paraíba'),Pires do Campo
Dra. Luna Azevedo,81 6624 8500,974.015.326-70,F,('BA', 'Bahia'),Aragão
Dra. Júlia Lopes,+55 71 7237-6301,051.378.296-68,F,('DF', 'Distrito Federal'),Almeida de Minas
Nina Nascimento,+55 21 9766 1796,907.438.652-00,F,('PR', 'Paraná'),Costela da Serra
Heitor Freitas,(041) 6050 5605,809.736.245-74,F,('AP', 'Amapá'),da Rocha de Peixoto
Ana Ramos,(051) 7582-7000,382.760.915-12,F,('TO', 'Tocantins'),Araújo
Pietro da Mata,+55 31 7646 8750,408.126.357-44,M,('AC', 'Acre'),Costa das Pedras
Isabelly Lima,+55 (021) 6078 7196,028.693.145-15,F,('ES', 'Espírito Santo'),Farias dos Dourados
Enzo Cavalcanti,+55 (021) 4237 2576,162.495.730-70,M,('PA', 'Pará'),Fernandes de da Costa
Maria Fernanda da Conceição,+55 (071) 1073-3315,578.940.623-83,F,('MA', 'Maranhão'),Silva
Eloah Rodrigues,(021) 5838 5237,731.580.469-20,F,('GO', 'Goiás'),da Cunha
Sophia Caldeira,21 6794 6954,625.147.983-37,F,('SC', 'Santa Catarina'),Costela
Marcela Pires,(081) 7699-3052,970.143.852-32,M,('AC', 'Acre'),Cunha
Srta. Milena da Paz,51 3680 9119,418.209.357-79,M,('CE', 'Ceará'),Araújo Alegre
Srta. Maria Clara Nascimento,+55 (061) 6547-2823,937.642.180-96,F,('AL', 'Alagoas'),Fernandes da Praia
Fernanda Azevedo,(084) 7894 3340,765.209.148-94,M,('MA', 'Maranhão'),Oliveira
Emanuel Vieira,+55 84 9487 9500,728.196.043-31,F,('CE', 'Ceará'),Martins
Ana Luiza da Cruz,0900 732 7451,802.719.453-97,F,('BA', 'Bahia'),Cavalcanti
Kaique Correia,51 4362 9681,201.794.638-96,M,('MG', 'Minas Gerais'),da Cruz
Emanuel Duarte,(031) 9586 0407,038.146.597-75,M,('AP', 'Amapá'),da Luz
Pedro Sales,(011) 3385-3717,053.672.918-21,F,('RR', 'Roraima'),da Mata
Cecília Melo,(021) 9737-0623,841.267.953-91,M,('MS', 'Mato Grosso do Sul'),Moreira
Mariane Correia,31 6975-4983,431.826.079-87,F,('RS', 'Rio Grande do Sul'),da Mota
Juan Lima,+55 (051) 5716-1613,587.691.403-75,F,('RS', 'Rio Grande do Sul'),Rezende
Laura Silveira,+55 84 0418-0141,056.437.182-35,F,('RN', 'Rio Grande do Norte'),Silva
Maysa da Mota,+55 (021) 6634 2445,051.263.974-43,F,('SC', 'Santa Catarina'),Oliveira do Galho
Caroline Farias,41 8103 3141,689.714.503-39,M,('SC', 'Santa Catarina'),Souza
Ian Fogaça,+55 51 0224 2993,018.425.793-04,M,('AM', 'Amazonas'),Nunes de Barbosa
Leandro Ramos,+55 (011) 1565 8769,308.129.765-68,F,('MS', 'Mato Grosso do Sul'),Oliveira Alegre
Stephany Cardoso,41 1176 5705,451.239.876-73,F,('AM', 'Amazonas'),Cardoso do Norte
Sophia Ferreira,(041) 6862 9929,801.723.465-17,M,('DF', 'Distrito Federal'),Farias Alegre
Dr. Renan Castro,+55 84 0777-3969,384.190.562-51,F,('RO', 'Rondônia'),Oliveira de Azevedo
Rodrigo Silva,+55 21 4917-6774,024.761.935-34,F,('RS', 'Rio Grande do Sul'),Ferreira
Heitor da Rocha,84 5316 8073,879.640.513-93,M,('GO', 'Goiás'),Monteiro da Praia
Raul Lopes,+55 (061) 6112-9466,409.871.356-00,F,('RN', 'Rio Grande do Norte'),Fernandes do Campo
Caio Nascimento,0300-746-5715,286.139.054-98,M,('RS', 'Rio Grande do Sul'),Ramos das Flores
Clara Cavalcanti,+55 (081) 5838-6752,531.902.647-16,F,('AC', 'Acre'),Jesus do Amparo
André Moraes,(081) 1232 8063,429.513.078-88,M,('RR', 'Roraima'),Vieira
Vinicius Barbosa,+55 71 5039 1913,924.057.316-06,M,('PA', 'Pará'),da Cunha
João Pedro Gonçalves,+55 (061) 6608 5191,735.981.042-60,F,('PE', 'Pernambuco'),Araújo do Norte
João Miguel Lima,(041) 9229-6292,360.492.815-05,F,('GO', 'Goiás'),da Costa
Stella Almeida,84 8360 2105,342.579.160-52,F,('BA', 'Bahia'),Jesus da Serra
Maria Alice Cavalcanti,+55 (081) 1710 0270,963.250.874-29,M,('RJ', 'Rio de Janeiro'),da Costa da Mata
Luiz Henrique Ramos,84 6663-0795,865.197.324-19,F,('PB', 'Paraíba'),Viana Paulista
João Miguel Barbosa,61 1376 8193,092.543.768-92,M,('MG', 'Minas Gerais'),Pinto da Mata
Breno Barros,+55 (071) 4802-7597,689.247.053-00,M,('AC', 'Acre'),Melo
Leonardo Viana,84 6377 2017,678.125.340-90,F,('RS', 'Rio Grande do Sul'),Moreira
Laura Almeida,+55 (021) 2365 7922,619.543.782-46,M,('PR', 'Paraná'),da Cunha
Luana Aragão,(061) 9563-8083,472.539.016-06,M,('SP', 'São Paulo'),Cunha do Campo
Dra. Nina da Conceição,+55 (031) 9600 6461,321.874.596-91,M,('SC', 'Santa Catarina'),Vieira
Clarice da Mata,(031) 0597 2447,486.902.713-50,M,('PI', 'Piauí'),da Cunha
Yuri Barbosa,+55 71 4864 3513,231.485.079-32,F,('MT', 'Mato Grosso'),Rodrigues do Sul
Lucca Oliveira,+55 71 3513 8056,640.592.837-38,M,('ES', 'Espírito Santo'),Pereira
Isabelly Cavalcanti,+55 (021) 4807-2706,852.019.743-41,M,('PA', 'Pará'),Almeida
Lavínia Rodrigues,84 5828 9411,452.736.901-61,F,('RR', 'Roraima'),Moura de Santos
Ana Rocha,(021) 9376-7220,820.631.479-22,M,('RR', 'Roraima'),da Mata das Pedras
Gabriela Pinto,+55 (071) 6054 6513,485.091.273-79,M,('MG', 'Minas Gerais'),Costa da Prata
Maria Clara da Luz,+55 81 8148 7059,043.276.158-62,F,('PB', 'Paraíba'),Moreira de Viana
Cauã Moreira,+55 71 4092-9396,458.612.709-02,M,('MS', 'Mato Grosso do Sul'),Novaes do Oeste
Sophie Castro,+55 (051) 1565-9428,638.579.140-84,F,('DF', 'Distrito Federal'),Duarte
Lucas Gabriel Nascimento,+55 (011) 2587 5970,256.493.018-24,F,('PI', 'Piauí'),Vieira do Sul
Bruno Rocha,+55 51 8871 9574,875.026.394-38,F,('SC', 'Santa Catarina'),Cardoso
Rodrigo Ferreira,+55 61 2007 8790,754.812.693-09,F,('PB', 'Paraíba'),Fernandes
Thales Fernandes,+55 (061) 1099-9748,780.462.391-78,M,('RR', 'Roraima'),Peixoto de Santos
Emanuella Melo,+55 (011) 4137 2355,125.439.078-23,M,('PI', 'Piauí'),Ramos de Goiás
Benício da Mota,51 3067 8375,592.760.841-85,F,('GO', 'Goiás'),da Conceição do Norte
Sr. Benício Jesus,(081) 0206 0210,731.640.259-80,F,('PB', 'Paraíba'),Cunha de Goiás
Luna Porto,71 6596 4117,605.743.918-00,M,('SC', 'Santa Catarina'),Barros
Melissa Campos,+55 11 9554-4154,532.870.916-03,M,('PI', 'Piauí'),Rezende dos Dourados
Camila Lopes,+55 (011) 0292-8054,739.145.680-20,M,('AP', 'Amapá'),Nunes das Pedras
Emilly Ferreira,(081) 5252 6548,702.845.136-44,F,('MT', 'Mato Grosso'),Barros
Júlia Nascimento,+55 (051) 8932 7508,608.327.149-50,F,('SP', 'São Paulo'),Cardoso
Lavínia Costa,+55 (081) 5808-4219,815.647.932-73,F,('DF', 'Distrito Federal'),Caldeira do Amparo
Dra. Ana Júlia da Cruz,+55 (041) 1497 1995,572.931.860-02,M,('RJ', 'Rio de Janeiro'),Silveira
Alana Sales,(071) 0207-6022,069.845.312-33,F,('PR', 'Paraná'),Alves
Srta. Raquel Novaes,+55 11 3493 5416,715.049.386-66,M,('ES', 'Espírito Santo'),Farias
Lara Almeida,(021) 5962 2035,320.715.948-60,M,('PB', 'Paraíba'),Cardoso
João Gabriel Lopes,+55 (011) 2196-7997,152.947.306-34,F,('MA', 'Maranhão'),Silva
Stella Fogaça,31 4845-2236,417.028.395-32,M,('AP', 'Amapá'),da Mata de Minas
Dr. Gabriel da Cruz,(021) 0251 3866,627.913.580-21,F,('PR', 'Paraná'),Silva
Erick Peixoto,21 0874 8080,016.857.493-48,M,('RR', 'Roraima'),Cardoso
Helena Jesus,41 3937 6650,489.370.612-87,M,('PE', 'Pernambuco'),das Neves
Rodrigo Barros,+55 (031) 1737-1202,746.019.285-67,F,('AP', 'Amapá'),Rocha
Isaac Aragão,+55 21 0870-2685,026.437.581-53,M,('BA', 'Bahia'),Cardoso
Theo Aragão,+55 (051) 2551-7093,470.582.963-83,F,('PE', 'Pernambuco'),Sales
Diogo da Conceição,0900-849-8281,428.369.701-03,M,('TO', 'Tocantins'),Farias de Rezende
Murilo Martins,0800-936-9962,086.712.395-86,M,('MS', 'Mato Grosso do Sul'),Cunha dos Dourados
Lavínia da Conceição,+55 (011) 2701-0474,175.423.869-64,F,('RR', 'Roraima'),Alves
Lorena Freitas,(071) 7300 2146,302.975.146-52,M,('RO', 'Rondônia'),Farias de Correia
Pietra Freitas,81 3186-6679,584.120.793-88,F,('RS', 'Rio Grande do Sul'),Pinto de Martins
Leonardo Melo,+55 11 6471-5488,570.623.491-43,F,('SP', 'São Paulo'),Souza
Fernanda da Cruz,(021) 2378-3937,402.863.917-40,F,('PR', 'Paraná'),Barros
Dra. Maria Cecília Porto,61 1839 6757,245.086.719-85,M,('TO', 'Tocantins'),Porto de Dias
Sra. Luana Aragão,21 8965 5483,408.697.521-11,M,('BA', 'Bahia'),Peixoto de Pinto
Maria Cecília Sales,(061) 3182-8761,053.872.194-41,F,('PI', 'Piauí'),Martins
Enzo Gabriel Duarte,84 5761 0411,945.372.068-29,F,('AL', 'Alagoas'),Caldeira
Erick Moura,+55 21 0335 7044,034.256.179-07,M,('PI', 'Piauí'),Barbosa
Sr. Pietro Alves,71 8041-6058,920.675.813-68,M,('DF', 'Distrito Federal'),Ramos da Serra
André Vieira,(061) 9197-0566,751.408.963-20,M,('ES', 'Espírito Santo'),Novaes
Isaac Viana,(051) 7127 0914,827.695.130-95,M,('MG', 'Minas Gerais'),Lima
Gabriel Porto,+55 81 6951-7373,426.390.187-87,M,('AC', 'Acre'),Rezende do Galho
Isis Freitas,+55 (071) 9956-4633,851.094.673-66,F,('SC', 'Santa Catarina'),Ribeiro
Maria Julia Cardoso,(051) 2569-5561,487.529.601-02,F,('RS', 'Rio Grande do Sul'),Porto do Campo
Agatha Ribeiro,+55 71 6781-1110,074.951.638-01,M,('AM', 'Amazonas'),Pinto de Cunha
Ian da Luz,+55 84 9235 0733,476.839.201-69,F,('CE', 'Ceará'),da Luz das Flores
Lavínia Cardoso,41 9929-4158,391.265.048-98,M,('PE', 'Pernambuco'),Ribeiro do Amparo
Antônio Pinto,+55 81 2925 6447,367.940.285-65,F,('MA', 'Maranhão'),Azevedo
Dr. Thiago Correia,+55 21 0034-6540,297.384.150-04,M,('RN', 'Rio Grande do Norte'),Silva Grande
Luiz Fernando Dias,0900 373 0972,182.460.597-85,M,('BA', 'Bahia'),Melo
Davi Lucca Moreira,+55 (031) 0956-4281,576.204.813-62,M,('SP', 'São Paulo'),Fernandes
Davi Luiz Gomes,(084) 5793-0821,023.459.816-60,F,('MT', 'Mato Grosso'),Teixeira Verde
Valentina Nunes,+55 21 9214-4288,694.538.270-29,F,('RO', 'Rondônia'),da Mota do Galho
João Miguel Silva,(011) 5295-8842,839.247.061-31,F,('SE', 'Sergipe'),Gomes
Dra. Caroline Castro,+55 (021) 0988 5999,317.682.054-26,F,('SC', 'Santa Catarina'),da Conceição
Davi Luiz Alves,+55 (021) 9490 1160,539.401.827-88,M,('SP', 'São Paulo'),da Cruz
Stephany Cardoso,+55 (011) 4246 5587,610.728.934-87,F,('AC', 'Acre'),Nogueira
Sr. Davi Luiz Costela,(041) 5857 6386,340.698.257-38,F,('AC', 'Acre'),das Neves
Anthony Barbosa,0300 363 8073,028.961.735-95,M,('DF', 'Distrito Federal'),da Rocha das Pedras
Kevin Farias,(041) 5812-3161,591.870.462-02,M,('PA', 'Pará'),Nogueira
Valentina Caldeira,+55 (081) 3628-7926,104.987.635-01,F,('SE', 'Sergipe'),Cunha
Luiz Otávio Silva,51 9392 8594,873.265.049-38,F,('AC', 'Acre'),Fogaça do Norte
Bruno Ramos,+55 (061) 9882 5043,137.942.650-25,M,('AL', 'Alagoas'),Porto de Azevedo
Vicente Silva,(084) 7526-2292,978.301.465-00,F,('RS', 'Rio Grande do Sul'),Peixoto do Oeste
Rodrigo da Paz,0500 677 7780,481.963.705-39,M,('SE', 'Sergipe'),Sales
Arthur das Neves,+55 (081) 0116 8314,743.805.269-92,M,('PE', 'Pernambuco'),Rocha
Gabrielly Pinto,+55 (071) 3026-8001,982.605.374-00,M,('GO', 'Goiás'),Santos de Santos
João Viana,31 0412-1908,621.874.305-53,F,('RS', 'Rio Grande do Sul'),Pinto de da Cruz
Paulo Aragão,+55 31 8777-1431,642.073.185-26,F,('PR', 'Paraná'),da Conceição Paulista
Camila da Costa,+55 41 9752 6879,397.150.648-84,M,('AM', 'Amazonas'),Costela de Minas
Luiz Gustavo Mendes,+55 (021) 9990-0012,146.270.589-85,F,('GO', 'Goiás'),Melo
Davi da Conceição,(071) 6427-3369,260.413.987-13,M,('CE', 'Ceará'),da Rosa do Norte
Laís Pires,+55 (084) 9894-7524,014.529.678-49,F,('BA', 'Bahia'),Pereira
Sr. Vicente da Paz,+55 11 5619 5160,874.031.652-17,M,('SE', 'Sergipe'),Rezende da Prata
Bruno Costa,+55 (071) 1180-8692,418.976.305-57,F,('GO', 'Goiás'),Cavalcanti da Serra
Dra. Cecília Melo,+55 11 7843 9894,032.618.975-03,M,('AL', 'Alagoas'),Farias
Lorena Fernandes,(041) 0178 4903,971.536.248-64,F,('MT', 'Mato Grosso'),da Rosa do Amparo
Theo Vieira,+55 51 1777 3403,962.145.830-70,F,('MT', 'Mato Grosso'),Ferreira
Esther Cavalcanti,81 0055-3559,648.152.730-90,M,('BA', 'Bahia'),Cavalcanti
Pedro Lucas Ferreira,+55 (071) 8609-5970,174.962.805-85,F,('PB', 'Paraíba'),Viana de Ribeiro
Srta. Bianca Castro,+55 41 8139-6357,873.406.951-84,M,('SC', 'Santa Catarina'),Duarte
Thiago Costa,84 1497 4798,067.458.913-01,M,('PB', 'Paraíba'),Lopes
Luiz Miguel Carvalho,+55 (061) 5819-0524,935.286.104-33,M,('RO', 'Rondônia'),Vieira
Sr. Levi Araújo,+55 (041) 2788-3815,785.394.126-91,F,('SP', 'São Paulo'),da Costa de da Conceição
Luiz Gustavo Santos,61 6911-6011,237.859.064-47,F,('SP', 'São Paulo'),Rezende
Bruna Oliveira,+55 41 3949 0840,408.597.163-84,M,('RS', 'Rio Grande do Sul'),Ramos Grande
Ana Clara Aragão,(031) 2327 5697,438.026.975-29,F,('SP', 'São Paulo'),Novaes Alegre
Nathan Azevedo,+55 (011) 8369-2962,208.647.139-40,F,('MT', 'Mato Grosso'),Almeida
Nina Carvalho,61 9082-7813,519.872.304-50,M,('PB', 'Paraíba'),Novaes
João Cardoso,61 1923-8071,234.697.581-82,M,('MA', 'Maranhão'),Viana
Rafaela Correia,71 1298-8002,978.204.316-87,M,('RJ', 'Rio de Janeiro'),Gomes do Campo
Pedro Rodrigues,(041) 4682-9592,465.897.103-84,M,('PI', 'Piauí'),Nascimento das Pedras
Sra. Lívia Cunha,+55 21 4853 2547,128.703.954-50,M,('PA', 'Pará'),da Rocha da Praia
